# Stellar spectrum generated with Kurucz-Korg pipeline
# Teff=5777.0 K, logg=4.44, [Fe/H]=0.0, [α/Fe]=0.0
# Wavelength(Angstrom)  Flux  Continuum
9022.5  3.8812252086914503e6  3.937014126884781e6
9023.0  3.8875228465395193e6  3.936596438522379e6
9023.5  3.8757883297547544e6  3.9361777831759644e6
9024.0  2.8221672765889056e6  3.9357591673717187e6
9024.5  3.3202010400838824e6  3.9353344430655297e6
9025.0  3.8981646487991484e6  3.9349097598145846e6
9025.5  3.903232856886946e6  3.934484520641909e6
9026.0  3.9053442847594214e6  3.9340593226879225e6
9026.5  3.905181564050082e6  3.9336341189940195e6
9027.0  3.8942877418149337e6  3.933208956764167e6
9027.5  3.909539279109211e6  3.932783717531385e6
9028.0  3.9114753540425175e6  3.932358519584453e6
9028.5  3.912706430513844e6  3.931933497238496e6
9029.0  3.9036832541109608e6  3.9315085156399487e6
9029.5  3.907931978942412e6  3.9310835785335265e6
9030.0  3.9144963881728663e6  3.930658682223528e6
9030.5  3.915318021975207e6  3.9302336790680042e6
9031.0  3.915922600397183e6  3.9298087166718603e6
9031.5  3.9143451416606368e6  3.9293837644388825e6
9032.0  3.9166571818407e6  3.9289588531380887e6
9032.5  3.916858887900531e6  3.928533967682637e6
9033.0  3.915817362786839e6  3.9281091232588543e6
9033.5  3.916878689970229e6  3.9276842946444894e6
9034.0  3.9047836247337665e6  3.9272595068065557e6
9034.5  3.9173539330731775e6  3.9268347291902746e6
9035.0  3.917505737435979e6  3.9264099921927126e6
9035.5  3.91764632628546e6  3.9259852430414394e6
9036.0  3.917626796332547e6  3.9255605347068883e6
9036.5  3.916794075637282e6  3.925135837654062e6
9037.0  3.916194199598047e6  3.9247111815513326e6
9037.5  3.917312904297647e6  3.9242866178447856e6
9038.0  3.916170894563837e6  3.9238620951611465e6
9038.5  3.9049932184066465e6  3.9234376328888834e6
9039.0  3.913647680525835e6  3.9230132116282745e6
9039.5  3.9123077772579724e6  3.922588802295292e6
9040.0  3.909283536478244e6  3.922164433606675e6
9040.5  3.916047166516435e6  3.921739955265937e6
9041.0  3.9038785436720517e6  3.9213155180432345e6
9041.5  3.915256339844531e6  3.920891005928886e6
9042.0  3.915347784927489e6  3.9204665346215484e6
9042.5  3.9156713562438493e6  3.9200420764980926e6
9043.0  3.9154535609871075e6  3.9196176597030777e6
9043.5  3.915205002055635e6  3.919192979173542e6
9044.0  3.9147747055132813e6  3.9187683399329283e6
9044.5  3.9146008125294084e6  3.9183436674432917e6
9045.0  3.9131773382534883e6  3.917919035820452e6
9045.5  3.913785499415791e6  3.917494421549549e6
9046.0  3.9115816374223777e6  3.9170698481437215e6
9046.5  3.907784239995624e6  3.916645488568663e6
9047.0  3.9074558653433095e6  3.916221170079007e6
9047.5  3.912724985035213e6  3.9157969747496513e6
9048.0  3.91135630473311e6  3.9153728206357164e6
9048.5  3.911125174409695e6  3.9149487346195327e6
9049.0  3.911847395219512e6  3.9145246897842647e6
9049.5  3.9115245401802063e6  3.914100743056918e6
9050.0  3.9102201853438453e6  3.913676837070036e6
9050.5  3.898777301150812e6  3.913252946929535e6
9051.0  3.9101782787746596e6  3.912829097809167e6
9051.5  3.907342843660678e6  3.912405257721756e6
9052.0  3.903348901630392e6  3.9119814588990724e6
9052.5  3.9076849903858216e6  3.9115576724314764e6
9053.0  3.907901438054147e6  3.9111339269587626e6
9053.5  3.903543381847307e6  3.910710197286979e6
9054.0  3.420876915204585e6  3.9102865087332847e6
9054.5  3.9044704379815687e6  3.909861903258343e6
9055.0  3.8634827517975005e6  3.90943733928236e6
9055.5  3.9058658590472396e6  3.9090128031170294e6
9056.0  3.9065578597223246e6  3.9085883083195365e6
9056.5  3.9062305048698583e6  3.908163665864963e6
9057.0  3.905393273675927e6  3.907739064947802e6
9057.5  3.905543229909645e6  3.9073135980047034e6
9058.0  3.9051870628980957e6  3.90688817237856e6
9058.5  3.9047794434186295e6  3.9064627352861483e6
9059.0  3.9028223297772543e6  3.9060373400603724e6
9059.5  3.903845572060845e6  3.9056119833289436e6
9060.0  3.903230453346872e6  3.9051866683974676e6
9060.5  3.8639239100151076e6  3.904761402869075e6
9061.0  3.8440004859555825e6  3.90433617914529e6
9061.5  3.8899060202515884e6  3.903910945351937e6
9062.0  3.899461053121762e6  3.9034857531720675e6
9062.5  3.898936704124041e6  3.903063689427871e6
9063.0  3.8850828765755957e6  3.9026416665383917e6
9063.5  3.8738152484997124e6  3.90222089026969e6
9064.0  2.7780799207881284e6  3.901800154378819e6
9064.5  3.8551483678236445e6  3.9013795281513534e6
9065.0  2.6414576962930993e6  3.9009589421882294e6
9065.5  3.883186201709134e6  3.900540939737106e6
9066.0  3.8936225402483367e6  3.9001229769298434e6
9066.5  3.896435706389472e6  3.899705059543846e6
9067.0  3.8968636236258964e6  3.8992871818320462e6
9067.5  3.897037099999131e6  3.8988693163006445e6
9068.0  3.8969089558330765e6  3.8984514906478543e6
9068.5  3.896422368085389e6  3.898033730426716e6
9069.0  3.89642919725609e6  3.897616009928017e6
9069.5  3.8961055793092307e6  3.8971982771493094e6
9070.0  3.8956963119345917e6  3.896780584200661e6
9070.5  3.8953778666961426e6  3.8963619820192307e6
9071.0  3.8885340004293434e6  3.8959434197386857e6
9071.5  3.8891215475445157e6  3.8955239395941505e6
9072.0  3.884324400120918e6  3.895104499922952e6
9072.5  3.8931079826006214e6  3.8946850741001293e6
9073.0  3.8310022757191327e6  3.8942656888374565e6
9073.5  3.892700439945337e6  3.8938461027862052e6
9074.0  3.8924283522087964e6  3.893426556869879e6
9074.5  3.891894340563479e6  3.893007005066999e6
9075.0  3.8918069334907117e6  3.892587493615089e6
9075.5  3.8908317044074237e6  3.892167997890101e6
9076.0  3.8909666922086333e6  3.8917485427029496e6
9076.5  3.8805992698410386e6  3.8913290817968734e6
9077.0  3.889944445427005e6  3.8909096614999524e6
9077.5  3.887500209392208e6  3.8904902577803284e6
9078.0  3.709568159337117e6  3.890070894434388e6
9078.5  3.888116813052553e6  3.8896515428591697e6
9079.0  3.887639769827323e6  3.889232231640667e6
9079.5  3.886418242146045e6  3.8888129220991903e6
9080.0  3.8695782512623807e6  3.8883936528872196e6
9080.5  3.8336387287108256e6  3.887974400660907e6
9081.0  3.701237839925169e6  3.8875551890307134e6
9081.5  3.8779573652221733e6  3.8871360054712878e6
9082.0  3.1488919343631607e6  3.886716862218193e6
9082.5  3.878013428732861e6  3.8862978281289e6
9083.0  3.7893266365251243e6  3.8858788346441807e6
9083.5  3.8833700313350447e6  3.885459918329931e6
9084.0  3.8837053347556614e6  3.885041042835286e6
9084.5  3.883780047929477e6  3.884621770610367e6
9085.0  3.883338142559881e6  3.884202539200507e6
9085.5  3.88292339320031e6  3.8837831863159174e6
9086.0  3.8824893106554984e6  3.883363873871119e6
9086.5  3.8809173027875246e6  3.882944578237005e6
9087.0  3.8810604443519176e6  3.882525323097493e6
9087.5  3.88104808642382e6  3.882105343881141e6
9088.0  3.8802235897698547e6  3.8816854054504344e6
9088.5  3.8794432273950325e6  3.881265475676771e6
9089.0  3.8727627458916763e6  3.880845586719837e6
9089.5  3.872834289162635e6  3.8804256404236862e6
9090.0  3.8703919926863094e6  3.880005734695882e6
9090.5  3.8401589613325247e6  3.879585621175548e6
9091.0  2.6050994889631663e6  3.879165548719577e6
9091.5  3.841481227785592e6  3.8787456297569424e6
9092.0  3.091210884831552e6  3.8783257517356128e6
9092.5  3.8662680692737126e6  3.877906047192305e6
9093.0  3.869397296175741e6  3.8774863835710543e6
9093.5  3.871122280522335e6  3.877066758452471e6
9094.0  3.87258161055784e6  3.8766471745549203e6
9094.5  3.87320327159394e6  3.8762275980738336e6
9095.0  3.8029404183684294e6  3.875808062678033e6
9095.5  3.8704660336670075e6  3.875388543451698e6
9096.0  3.8654392747957525e6  3.874969065308529e6
9096.5  3.853124549915299e6  3.8745495992181003e6
9097.0  3.742346826705355e6  3.874130173698395e6
9097.5  3.256730101401577e6  3.8737107575324206e6
9098.0  3.8316082610665993e6  3.873291381941263e6
9098.5  3.8572994783163695e6  3.872871684638757e6
9099.0  3.866526509244616e6  3.872452028361539e6
9099.5  3.8682647152582603e6  3.872032372319854e6
9100.0  3.8687830494932276e6  3.8716127575979927e6
9100.5  3.8681646800345206e6  3.8711935059099095e6
9101.0  3.8398249708855026e6  3.8707742954754545e6
9101.5  3.5455420608686013e6  3.8703563123581544e6
9102.0  3.8639897886830894e6  3.8699383700953983e6
9102.5  3.866908790419978e6  3.8695204500875445e6
9103.0  3.680297166510617e6  3.86910257080645e6
9103.5  3.8666470704096644e6  3.8686853186277845e6
9104.0  3.865108148735177e6  3.868268107158097e6
9104.5  3.8667640309095513e6  3.86785168508986e6
9105.0  3.866138739743575e6  3.8674353030833593e6
9105.5  3.855131481456346e6  3.86701893877707e6
9106.0  3.8205647994869114e6  3.866602614899028e6
9106.5  3.8640518148786533e6  3.8661863188766125e6
9107.0  3.8645193621849506e6  3.865770063054765e6
9107.5  3.863424516843604e6  3.8653538296474386e6
9108.0  3.8039243952511842e6  3.8649376366199194e6
9108.5  3.8592999073881856e6  3.864521461227462e6
9109.0  3.8568795675845514e6  3.8641053262890787e6
9109.5  3.8624804748298386e6  3.8636892994320765e6
9110.0  3.86253571008467e6  3.863273312693326e6
9110.5  3.861465309080049e6  3.8628575258548777e6
9111.0  3.8471546249271575e6  3.862441779211362e6
9111.5  3.8530187605792703e6  3.862026051160468e6
9112.0  3.860077178375655e6  3.861610363441938e6
9112.5  3.8593878359162267e6  3.8611946979618743e6
9113.0  3.8576968208548296e6  3.8607790724439775e6
9113.5  3.8528949408958214e6  3.8603622282891315e6
9114.0  3.808769409707932e6  3.859945424567874e6
9114.5  3.596998962809792e6  3.859528488662194e6
9115.0  3.8419721245940262e6  3.85911159312806e6
9115.5  3.8380000798538844e6  3.858694460434946e6
9116.0  3.855979492413527e6  3.85827736851079e6
9116.5  3.8556956335891024e6  3.857860298029007e6
9117.0  3.8560348308213493e6  3.8574432681524814e6
9117.5  3.8559377543656803e6  3.8570258547437065e6
9118.0  3.855420935860946e6  3.8566084822276146e6
9118.5  3.854560957922356e6  3.8561908778355955e6
9119.0  3.8519276696375753e6  3.8557733140499527e6
9119.5  3.7514637611317975e6  3.8553558795102094e6
9120.0  3.845279165961536e6  3.854938485981281e6
9120.5  3.8495939363194243e6  3.8545208818269293e6
9121.0  3.8414471720596184e6  3.8541033186224457e6
9121.5  3.609666639484867e6  3.853685727125134e6
9122.0  3.848318224161089e6  3.8532681763437507e6
9122.5  3.730404299570485e6  3.852850643183993e6
9123.0  3.8513586066274e6  3.852433150908174e6
9123.5  3.8510749044327596e6  3.852015599525206e6
9124.0  3.850850074459665e6  3.8515980887599634e6
9124.5  3.8503330025983914e6  3.8511806043944433e6
9125.0  3.8486703196015987e6  3.8507631610383014e6
9125.5  3.8352861858911174e6  3.850345618948058e6
9126.0  3.8425970027793483e6  3.8499281174841514e6
9126.5  3.848299180841796e6  3.8495103062393214e6
9127.0  3.846417938500522e6  3.849092536298938e6
9127.5  3.847511300074229e6  3.84867482202919e6
9128.0  3.7011967442895463e6  3.848257149168164e6
9128.5  3.845225722703087e6  3.847839754345673e6
9129.0  3.7849145515151327e6  3.8474224005144057e6
9129.5  3.8450666373024452e6  3.8470050775116994e6
9130.0  3.845791302466872e6  3.8465877954137786e6
9130.5  3.8451858029320827e6  3.8461705401529437e6
9131.0  3.844943496905706e6  3.845753325951914e6
9131.5  3.7697688267805413e6  3.8453361678251224e6
9132.0  3.8410057879260187e6  3.844919050606145e6
9132.5  3.7197077168378006e6  3.8445019718887405e6
9133.0  3.832481938253491e6  3.8440849344713017e6
9133.5  3.8417397533830176e6  3.843667924510494e6
9134.0  3.8423021502668746e6  3.843250955412625e6
9134.5  3.842133111967159e6  3.842834035680693e6
9135.0  3.8309189841100927e6  3.8424171571973595e6
9135.5  3.78451001183371e6  3.8420003079031194e6
9136.0  3.8403910120954183e6  3.8415834993027756e6
9136.5  3.8406670423125164e6  3.841166727133837e6
9137.0  3.840192591252804e6  3.840749995914567e6
9137.5  3.8395488397837374e6  3.8403333686879887e6
9138.0  3.8386448173072543e6  3.8399167825323353e6
9138.5  3.8352135757734356e6  3.8395002257126407e6
9139.0  3.807934240034564e6  3.839083709604288e6
9139.5  3.8283655162405134e6  3.838667026919346e6
9140.0  3.8364356793854893e6  3.8382503851289228e6
9140.5  3.8364604030995537e6  3.837833423702546e6
9141.0  3.8368774573745974e6  3.837416503496216e6
9141.5  3.836591093611377e6  3.836999608487767e6
9142.0  3.836101545826698e6  3.8365827545671547e6
9142.5  3.8310527959298487e6  3.8361660859330525e6
9143.0  3.832209806659044e6  3.835749458373095e6
9143.5  3.824511019837889e6  3.835332976424704e6
9144.0  3.834610052313389e6  3.8349165357413543e6
9144.5  3.830612917658185e6  3.8345001221975763e6
9145.0  3.791580244465962e6  3.834083749489048e6
9145.5  3.8333530749974665e6  3.8336674130160576e6
9146.0  3.8329339764973563e6  3.8332511180057065e6
9146.5  3.829760627012597e6  3.8328350303883324e6
9147.0  3.8308684886880377e6  3.8324189839813295e6
9147.5  3.831217425200637e6  3.83200303307431e6
9148.0  3.829952149395424e6  3.8315871232267637e6
9148.5  3.8024889498183e6  3.8311707304301877e6
9149.0  3.822838640636224e6  3.8307543789201407e6
9149.5  3.8248020972127677e6  3.8303380476194015e6
9150.0  3.8170045160139007e6  3.82992175744103e6
9150.5  2.775720694704804e6  3.8295054720955156e6
9151.0  3.820833853933602e6  3.829089228081457e6
9151.5  3.827919043738428e6  3.828672933803965e6
9152.0  3.8277175315722874e6  3.8282566809094683e6
9152.5  3.827478284325842e6  3.827840450249852e6
9153.0  3.8270134561989782e6  3.8274242609832888e6
9153.5  3.821622164757438e6  3.827008099671812e6
9154.0  3.8260671733623846e6  3.8265919796034577e6
9154.5  3.8255592006019275e6  3.8261758901552362e6
9155.0  3.8249451472375575e6  3.825759842182176e6
9155.5  3.823628077819148e6  3.825343963524998e6
9156.0  3.8195997026492683e6  3.8249281259080647e6
9156.5  3.7709972665474946e6  3.8245124856110974e6
9157.0  3.809518961791992e6  3.824096886407312e6
9157.5  3.8225992738080914e6  3.823681340972542e6
